@relation train

@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute r {TRUE,FALSE}

@data
0.042842,-1.709271,-1.105591,-1.465845,0.26849,-0.030863,-1.629745,-0.785574,0.195702,1.573151,-1.049832,-0.776301,0.140814,0.66809,-1.097024,0.991978,0.356897,2.278406,-1.418337,-0.643185,0.463423,TRUE
-0.664822,-2.083821,1.414403,-1.026213,-0.215055,-1.872923,0.219164,-1.75137,0.139095,1.3509,4.936795,-1.491552,1.864565,-0.265906,-3.072725,-1.651202,-0.523008,-1.682305,0.441123,4.207326,-1.041018,TRUE
0.142955,0.569116,0.370725,-0.418242,-0.929789,-0.151563,0.013703,1.308813,0.709503,-1.010919,0.040185,-0.4465,-0.180732,-0.304674,-0.987737,-0.843223,-0.728748,-1.175717,5.507939,0.338388,-0.737121,FALSE
0.256083,-1.492022,2.311592,-1.300927,2.085858,-0.950456,0.927457,2.087466,-1.602547,1.036628,1.095679,-1.180558,1.261189,-0.879097,-0.078213,-2.051156,-1.650008,-1.638892,-1.952211,-0.369897,-0.23622,FALSE
0.650619,-1.158717,-0.21208,-2.130221,2.41241,-0.989191,-0.190233,3.89063,-2.460207,0.413338,1.151509,-1.812235,2.390407,-0.693127,-1.029552,-2.077735,-1.051036,-0.509106,-0.929185,1.470716,0.356923,FALSE
0.642466,0.191114,-1.293281,-0.211747,-0.524071,-0.851749,-0.538452,3.810994,2.321069,-0.132215,-0.80791,-0.941223,1.793617,-1.361943,-1.415657,-1.76467,-1.816165,0.885004,-1.007166,0.792576,-1.134719,FALSE
1.772126,0.021742,0.657013,-0.332379,-1.12763,-1.189246,1.125972,0.914454,1.318857,0.753739,1.119711,-1.740707,1.527484,-0.665731,-0.63772,-1.566817,-1.350216,0.253961,-0.391028,0.252043,-1.581991,FALSE
0.050826,-2.565909,-0.918,0.690035,-0.684351,-1.429492,-1.14765,-1.859465,0.43732,0.411783,1.866414,-2.030008,-0.385598,0.686508,-2.538888,1.2893,2.455411,-0.071167,-1.336658,0.954219,1.183652,TRUE
-0.267629,-1.646837,-1.347752,-0.791467,0.178952,-0.726079,-0.140566,-1.42995,-1.227952,0.731797,0.704769,-1.106686,1.261789,0.191006,-0.87245,0.566197,1.357352,-1.856179,-1.681503,3.221314,-0.115165,TRUE
0.941602,0.024779,4.315348,-0.089807,0.452891,-1.406073,1.294167,-0.410663,1.977974,-0.653327,1.908141,-1.430385,0.045949,-0.349515,0.452669,-1.739415,-1.940571,-0.956655,-0.381077,-0.316387,-1.317668,FALSE
